comparison,metric,label_a,label_b,paired_seeds,mean_a,mean_b,mean_difference_a_minus_b,difference_sd,ci95_lower,ci95_upper,paired_effect_dz,wins_a,ties,exact_sign_flip_p
standard: proposed vs fedavg,accuracy,proposed_standard,fedavg_standard,3,0.1837088388214904,0.18053148469093006,0.0031773541305603337,0.007946010805013863,-0.016561630968150203,0.02291633922927087,0.3998678341282208,2,0,0.75
standard: proposed vs fedavg,macro_f1,proposed_standard,fedavg_standard,3,0.043183288277838495,0.04271586942988023,0.00046741884795826566,0.0015189292819247169,-0.0033058106627527725,0.004240648358669304,0.30772917048907905,2,0,0.75
standard: proposed vs fedavg,weighted_f1,proposed_standard,fedavg_standard,3,0.09511852143533861,0.09379173625232855,0.001326785183010067,0.006197997070489695,-0.014069893077111453,0.016723463443131588,0.2140667651050115,2,0,0.75
standard: proposed vs fedavg,ece,proposed_standard,fedavg_standard,3,0.08473777633799524,0.08517239483397239,-0.00043461849597716445,0.001987116298961644,-0.0053708890318615275,0.004501652039907199,-0.2187181979254419,1,0,1.0
standard: proposed vs fedavg,brier_score,proposed_standard,fedavg_standard,3,0.9096970189763601,0.9114153020466716,-0.0017182830703114105,0.00326489828470488,-0.00982874002437577,0.0063921738837529486,-0.5262899240570764,1,0,1.0
standard: proposed vs fedavg,zero_recall_classes,proposed_standard,fedavg_standard,3,10.666666666666666,10.666666666666666,0.0,0.0,0.0,0.0,,0,3,1.0
standard: proposed vs fedavg,active_prediction_classes,proposed_standard,fedavg_standard,3,2.3333333333333335,2.6666666666666665,-0.3333333333333333,0.5773502691896258,-1.7675509099164874,1.100884243249821,-0.5773502691896256,0,2,1.0
standard: proposed vs fedprox,accuracy,proposed_standard,fedprox_standard,3,0.1837088388214904,0.1798093587521663,0.0038994800693240663,0.007093026665400784,-0.013720574960648711,0.021519535099296844,0.5497624996033665,2,0,0.75
standard: proposed vs fedprox,macro_f1,proposed_standard,fedprox_standard,3,0.043183288277838495,0.042363010935113195,0.0008202773427253007,0.001049199419651203,-0.0017860785027768128,0.0034266331882274142,0.7818126157542049,2,0,0.5
standard: proposed vs fedprox,weighted_f1,proposed_standard,fedprox_standard,3,0.09511852143533861,0.093263286117088,0.0018552353182505986,0.005478494610830137,-0.011754099748133493,0.015464570384634689,0.3386396172742573,2,0,0.75
standard: proposed vs fedprox,ece,proposed_standard,fedprox_standard,3,0.08473777633799524,0.08472671948915649,1.1056848838767822e-05,0.0020788080599954805,-0.005152988648486547,0.0051751023461640835,0.005318840662370657,2,0,1.0
standard: proposed vs fedprox,brier_score,proposed_standard,fedprox_standard,3,0.9096970189763601,0.9114458673661368,-0.0017488483897765879,0.0032751578860413374,-0.009884791606428365,0.006387094826875188,-0.5339737657320728,1,0,1.0
standard: proposed vs fedprox,zero_recall_classes,proposed_standard,fedprox_standard,3,10.666666666666666,10.666666666666666,0.0,0.0,0.0,0.0,,0,3,1.0
standard: proposed vs fedprox,active_prediction_classes,proposed_standard,fedprox_standard,3,2.3333333333333335,2.6666666666666665,-0.3333333333333333,0.5773502691896258,-1.7675509099164874,1.100884243249821,-0.5773502691896256,0,2,1.0
class_weighted: proposed vs fedavg,accuracy,proposed_class_weighted,fedavg_class_weighted,3,0.1502021952628538,0.1478913922588099,0.0023108030040439043,0.005169130608946632,-0.010530029278603373,0.015151635286691181,0.4470390049816909,1,1,1.0
class_weighted: proposed vs fedavg,macro_f1,proposed_class_weighted,fedavg_class_weighted,3,0.06609038846166267,0.062317507218525026,0.003772881243137634,0.007888318636025961,-0.015822788562917384,0.02336855104919265,0.4782871252064896,2,0,0.75
class_weighted: proposed vs fedavg,weighted_f1,proposed_class_weighted,fedavg_class_weighted,3,0.08716286442720415,0.08585635510581772,0.0013065093213864055,0.006205803635226998,-0.014109561520598269,0.01672258016337108,0.21053023881871757,1,0,1.0
class_weighted: proposed vs fedavg,ece,proposed_class_weighted,fedavg_class_weighted,3,0.06038656503990817,0.0582364340302556,0.002150131009652568,0.004854093346270085,-0.009908105328173305,0.014208367347478441,0.4429521346771672,1,0,0.75
class_weighted: proposed vs fedavg,brier_score,proposed_class_weighted,fedavg_class_weighted,3,0.912426425111963,0.913212436566007,-0.000786011454043963,0.0010528846888233838,-0.003401522015674642,0.0018294991075867156,-0.7465313746012813,3,0,0.25
class_weighted: proposed vs fedavg,zero_recall_classes,proposed_class_weighted,fedavg_class_weighted,3,7.666666666666667,7.666666666666667,0.0,0.0,0.0,0.0,,0,3,1.0
class_weighted: proposed vs fedavg,active_prediction_classes,proposed_class_weighted,fedavg_class_weighted,3,6.333333333333333,6.0,0.3333333333333333,0.5773502691896258,-1.100884243249821,1.7675509099164874,0.5773502691896256,1,2,1.0
class_weighted: proposed vs fedprox,accuracy,proposed_class_weighted,fedprox_class_weighted,3,0.1502021952628538,0.14904679376083182,0.0011554015020219706,0.0036077400337367884,-0.007806721569974994,0.010117524574018936,0.32025630761018015,1,1,1.0
class_weighted: proposed vs fedprox,macro_f1,proposed_class_weighted,fedprox_class_weighted,3,0.06609038846166267,0.06486457027953828,0.0012258181821243955,0.005332952586882236,-0.012021970453926245,0.014473606818175036,0.22985731865301215,1,0,1.0
class_weighted: proposed vs fedprox,weighted_f1,proposed_class_weighted,fedprox_class_weighted,3,0.08716286442720415,0.08766519004866528,-0.0005023256214611351,0.0038708687212773703,-0.010118096589221028,0.009113445346298757,-0.1297707717908268,1,0,1.0
class_weighted: proposed vs fedprox,ece,proposed_class_weighted,fedprox_class_weighted,3,0.06038656503990817,0.059573216470316694,0.0008133485695914685,0.003846909793534343,-0.00874290512222887,0.010369602261411806,0.21142907248786968,2,0,1.0
class_weighted: proposed vs fedprox,brier_score,proposed_class_weighted,fedprox_class_weighted,3,0.912426425111963,0.9131859787465939,-0.0007595536346307977,0.000884195858913823,-0.0029560179123320996,0.0014369106430705044,-0.8590332413045452,3,0,0.25
class_weighted: proposed vs fedprox,zero_recall_classes,proposed_class_weighted,fedprox_class_weighted,3,7.666666666666667,7.666666666666667,0.0,0.0,0.0,0.0,,0,3,1.0
class_weighted: proposed vs fedprox,active_prediction_classes,proposed_class_weighted,fedprox_class_weighted,3,6.333333333333333,6.333333333333333,0.0,0.0,0.0,0.0,,0,3,1.0
