method,accuracy_delta,macro_precision_delta,macro_recall_delta,macro_f1_delta,weighted_precision_delta,weighted_recall_delta,weighted_f1_delta,ece_delta,brier_score_delta,zero_recall_classes_delta,never_predicted_classes_delta,active_prediction_classes_delta
fedavg,-0.032640092432120155,0.046648728407688994,0.03672358489024258,0.019601637788644793,0.04538722573245352,-0.032640092432120155,-0.007935381146510823,-0.02693596080371679,0.001797134519335386,-2.999999999999999,-3.333333333333334,3.3333333333333335
fedprox,-0.03076256499133448,0.05895561302978078,0.039887861785715295,0.022501559344425083,0.046693526635178076,-0.03076256499133448,-0.005598096068422723,-0.02515350301883979,0.0017401113804571544,-2.999999999999999,-3.666666666666667,3.6666666666666665
proposed,-0.033506643558636584,0.04214719837494136,0.044653493818014076,0.02290710018382417,0.03994957676766439,-0.033506643558636584,-0.007955657008134456,-0.024351211298087073,0.0027294061356029076,-2.999999999999999,-3.999999999999999,3.9999999999999996

