round,clients,prompts_per_100,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
1,150,30.017351069982652,0.031231925968768073,0.02155499932954901,0.07743589743589743,0.0055111273385385065,0.04428639649900239,0.031231925968768073,0.00401752533350564,0.058822609057586406,0.9228006364701828,True
2,150,30.017351069982652,0.059572006940427996,0.025612980206822327,0.08750295857988166,0.01893858768064386,0.05814530274170613,0.059572006940427996,0.03320087378610221,0.0291088525272643,0.9194617545082308,True
3,150,30.017351069982652,0.18854829381145172,0.04680846019944407,0.099069033530572,0.05112682541492944,0.08549491142895604,0.18854829381145172,0.08717371587646541,0.09879664971157605,0.9153858534692796,True
4,150,30.017351069982652,0.19606709080393292,0.030748098055790367,0.07856410256410255,0.043547590546446996,0.07906892124648053,0.19606709080393292,0.11104824806296253,0.10015365474051034,0.9102441414260707,True
5,150,30.017351069982652,0.21110468478889532,0.028993078785875263,0.0774871794871795,0.039656171486989224,0.07518282863689381,0.21110468478889532,0.10486663785239803,0.10548370566807296,0.9038831054429116,True
6,150,30.017351069982652,0.21226142278773857,0.02427177277237253,0.0756923076923077,0.030536829471065955,0.0642034812577122,0.21226142278773857,0.08428321712834126,0.09302291279672681,0.8963905998399918,True
7,150,30.017351069982652,0.21688837478311163,0.016751541141785044,0.07692307692307693,0.027511830086937382,0.04723178893360444,0.21688837478311163,0.07757094949324449,0.07935121674855504,0.8883892499891258,True
8,150,30.017351069982652,0.21688837478311163,0.016693376068376068,0.07692307692307693,0.027433336991111598,0.047067789666473875,0.21688837478311163,0.07734963437343495,0.058408145458281824,0.8808096523905661,True
9,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.036327274140248465,0.8746164229577416,True
10,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.023798430246931748,0.8703620174571313,True
