round,validation_accuracy,validation_macro_f1,clients
1,0.09022556390977443,0.017643557227090496,150
2,0.11336032388663968,0.02435960232930728,150
3,0.1659919028340081,0.03666502469688057,150
4,0.21804511278195488,0.031117245355498795,150
5,0.21688837478311163,0.027420298332845865,150
6,0.21688837478311163,0.027420298332845865,150
7,0.21688837478311163,0.027420298332845865,150
8,0.21688837478311163,0.027420298332845865,150
9,0.21688837478311163,0.027420298332845865,150
10,0.21688837478311163,0.027420298332845865,150
