round,validation_accuracy,validation_macro_f1,clients
1,0.07692307692307693,0.028572164464125603,150
2,0.08849045691150954,0.0295464849067561,150
3,0.0989010989010989,0.03173011119458536,150
4,0.10584152689415847,0.033589163018178284,150
5,0.10757663389242336,0.03700548833855265,150
6,0.11046847888953153,0.041157122956771944,150
7,0.11162521688837479,0.04244064859860483,150
8,0.11451706188548294,0.046144503044055554,150
9,0.11914401388085599,0.053009957650385825,150
10,0.1231925968768074,0.054783749641877155,150
