round,validation_accuracy,validation_macro_f1,clients
1,0.03007518796992481,0.004491858506457046,150
2,0.03007518796992481,0.004491858506457046,150
3,0.030653556969346442,0.005008861920787666,150
4,0.031231925968768073,0.005540594489594105,150
5,0.031810294968189705,0.006083689174663816,150
6,0.03643724696356275,0.009505048421652737,150
7,0.06362058993637941,0.029487208368756044,150
8,0.12030075187969924,0.05329702824658893,150
9,0.15615962984384038,0.073004269272012,150
10,0.1607865818392134,0.07518233537807041,150
