round,clients,prompts_per_100,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
1,150,30.017351069982652,0.042799305957200696,0.01879420492509746,0.06865181575588815,0.015365155304727984,0.032693646901148996,0.042799305957200696,0.020641477802846545,0.046380020893502606,0.920773003628093,True
2,150,30.017351069982652,0.07750144592249855,0.026462158219902228,0.08305487875623621,0.02517823094783048,0.04843182836200155,0.07750144592249855,0.0379130538771678,0.010948189400123546,0.9198679676891606,True
3,150,30.017351069982652,0.11278195488721804,0.029014838916075737,0.10178094906601695,0.034166543468498,0.050631201192108136,0.11278195488721804,0.051133416789999414,0.024849527105559766,0.9189760023363646,True
4,150,30.017351069982652,0.13533834586466165,0.03231547605633084,0.11049541710175195,0.0439382392825443,0.04991549797736112,0.13533834586466165,0.06089877011531553,0.04742767245542665,0.9180970686088301,True
5,150,30.017351069982652,0.1434355118565645,0.03715438440911773,0.1126476389372317,0.05118734905017816,0.05032589587386956,0.1434355118565645,0.06493715470512598,0.0544998626692782,0.9171705549834249,True
6,150,30.017351069982652,0.14459224985540775,0.06722702182562171,0.10910337626174729,0.05447210917053465,0.1294162140684201,0.14459224985540775,0.07028200554200145,0.05508239987856257,0.9161454281996501,True
7,150,30.017351069982652,0.14632735685367265,0.05369484698449743,0.10770182155702518,0.054070601081429207,0.09212445951203717,0.14632735685367265,0.0710932525924482,0.05615667788502521,0.9149952367749068,True
8,150,30.017351069982652,0.14690572585309428,0.05393507512314915,0.10535862629075297,0.05338055099405954,0.09605373586120068,0.14690572585309428,0.07350707012108891,0.055946289652720416,0.9137345122114444,True
9,150,30.017351069982652,0.1492192018507808,0.05776736122537111,0.10862489848010208,0.05527808252872753,0.10679085432482688,0.1492192018507808,0.07730866792557596,0.05743135125341273,0.9123275291323145,True
10,150,30.017351069982652,0.1532677848467322,0.05961504091102753,0.11242580345747767,0.05721316086877131,0.11378112824663984,0.1532677848467322,0.08281714694818733,0.060482222071922595,0.9106804679433428,True
