method,seed,category,support,support_share,predicted_count,predicted_share,precision,recall,f1,never_predicted,zero_recall
proposed,52,Entertainment,198,0.08578856152512998,0,0.0,0.0,0.0,0.0,True,True
proposed,52,Food,500,0.21663778162911612,1281,0.5550259965337955,0.23497267759562843,0.602,0.33801235261089274,False,False
proposed,52,Freelance,71,0.03076256499133449,0,0.0,0.0,0.0,0.0,True,True
proposed,52,Health,93,0.0402946273830156,0,0.0,0.0,0.0,0.0,True,True
proposed,52,Investment,70,0.030329289428076257,0,0.0,0.0,0.0,0.0,True,True
proposed,52,Other,108,0.04679376083188908,0,0.0,0.0,0.0,0.0,True,True
proposed,52,Rent,401,0.17374350086655113,0,0.0,0.0,0.0,0.0,True,True
proposed,52,Salary,67,0.02902946273830156,0,0.0,0.0,0.0,0.0,True,True
proposed,52,Savings,57,0.024696707105719237,0,0.0,0.0,0.0,0.0,True,True
proposed,52,Travel,294,0.12738301559792028,0,0.0,0.0,0.0,0.0,True,True
proposed,52,Utilities,233,0.1009532062391681,1027,0.4449740034662045,0.08568646543330087,0.3776824034334764,0.13968253968253969,False,False
fedavg,62,Bonus,65,0.028162911611785094,0,0.0,0.0,0.0,0.0,True,True
fedavg,62,Education,151,0.06542461005199307,0,0.0,0.0,0.0,0.0,True,True
fedavg,62,Entertainment,198,0.08578856152512998,0,0.0,0.0,0.0,0.0,True,True
fedavg,62,Food,500,0.21663778162911612,249,0.10788561525129983,0.21285140562248997,0.106,0.14152202937249667,False,False
fedavg,62,Freelance,71,0.03076256499133449,0,0.0,0.0,0.0,0.0,True,True
fedavg,62,Health,93,0.0402946273830156,0,0.0,0.0,0.0,0.0,True,True
fedavg,62,Investment,70,0.030329289428076257,75,0.03249566724436742,0.2,0.21428571428571427,0.20689655172413793,False,False
fedavg,62,Other,108,0.04679376083188908,0,0.0,0.0,0.0,0.0,True,True
fedavg,62,Rent,401,0.17374350086655113,1984,0.8596187175043327,0.17993951612903225,0.8902743142144638,0.2993710691823899,False,False
fedavg,62,Salary,67,0.02902946273830156,0,0.0,0.0,0.0,0.0,True,True
fedavg,62,Savings,57,0.024696707105719237,0,0.0,0.0,0.0,0.0,True,True
fedavg,62,Travel,294,0.12738301559792028,0,0.0,0.0,0.0,0.0,True,True
fedavg,62,Utilities,233,0.1009532062391681,0,0.0,0.0,0.0,0.0,True,True
fedprox,62,Bonus,65,0.028162911611785094,0,0.0,0.0,0.0,0.0,True,True
fedprox,62,Education,151,0.06542461005199307,0,0.0,0.0,0.0,0.0,True,True
fedprox,62,Entertainment,198,0.08578856152512998,0,0.0,0.0,0.0,0.0,True,True
fedprox,62,Food,500,0.21663778162911612,245,0.1061525129982669,0.20816326530612245,0.102,0.13691275167785236,False,False
fedprox,62,Freelance,71,0.03076256499133449,0,0.0,0.0,0.0,0.0,True,True
fedprox,62,Health,93,0.0402946273830156,0,0.0,0.0,0.0,0.0,True,True
fedprox,62,Investment,70,0.030329289428076257,80,0.03466204506065858,0.1875,0.21428571428571427,0.2,False,False
fedprox,62,Other,108,0.04679376083188908,0,0.0,0.0,0.0,0.0,True,True
fedprox,62,Rent,401,0.17374350086655113,1983,0.8591854419410745,0.1800302571860817,0.8902743142144638,0.29949664429530204,False,False
fedprox,62,Salary,67,0.02902946273830156,0,0.0,0.0,0.0,0.0,True,True
fedprox,62,Savings,57,0.024696707105719237,0,0.0,0.0,0.0,0.0,True,True
fedprox,62,Travel,294,0.12738301559792028,0,0.0,0.0,0.0,0.0,True,True
fedprox,62,Utilities,233,0.1009532062391681,0,0.0,0.0,0.0,0.0,True,True
proposed,62,Bonus,65,0.028162911611785094,0,0.0,0.0,0.0,0.0,True,True
proposed,62,Education,151,0.06542461005199307,0,0.0,0.0,0.0,0.0,True,True
proposed,62,Entertainment,198,0.08578856152512998,0,0.0,0.0,0.0,0.0,True,True
