method,actual,predicted,count,error_share
proposed,Savings,Rent,78,0.013788226975428673
proposed,Bonus,Rent,74,0.013081138412586176
proposed,Savings,Food,70,0.01237404984974368
proposed,Other,Utilities,65,0.011490189146190561
proposed,Freelance,Food,62,0.010959872724058689
proposed,Investment,Food,58,0.010252784161216192
proposed,Salary,Food,58,0.010252784161216192
proposed,Investment,Utilities,55,0.00972246773908432
proposed,Education,Utilities,54,0.009545695598373696
proposed,Bonus,Utilities,53,0.009368923457663072
proposed,Freelance,Utilities,51,0.009015379176241824
proposed,Salary,Utilities,50,0.0088386070355312
proposed,Bonus,Food,47,0.008308290613399329
proposed,Health,Utilities,39,0.006894113487714336
proposed,Savings,Utilities,23,0.0040657592363443525
proposed,Bonus,Investment,21,0.0037122149549231043
proposed,Salary,Investment,15,0.00265158211065936
proposed,Other,Investment,13,0.002298037829238112
proposed,Freelance,Investment,9,0.001590949266395616
proposed,Food,Investment,2,0.00035354428142124803
proposed,Entertainment,Investment,1,0.00017677214071062401
proposed,Health,Investment,1,0.00017677214071062401
proposed,Rent,Investment,1,0.00017677214071062401
proposed,Travel,Investment,1,0.00017677214071062401
