model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
Rules-only,0.0368284228769497,0.0432479788021735,0.0204887653435359,0.0270271026416707,0.0835402169428496,0.0368284228769497,0.0501185156391489,,,False
Metadata-only,0.3011265164644714,0.1473514299494047,0.1674448523001006,0.1380923310467934,0.2171513313973726,0.3011265164644714,0.2120101491572992,0.0549628370735134,0.7853650311813235,True
Metadata + Notes,0.3119584055459272,0.2584132975830368,0.1855897607326368,0.15821329817343,0.31178609162826,0.3119584055459272,0.2200518152515181,0.0452770090009131,0.7874400955106847,True
FedAvg,0.1876083188908145,0.030645449198346,0.0772123537310569,0.0412709236940888,0.0789464189421147,0.1876083188908145,0.1044228425637488,0.0830966901111592,0.9040282944993197,True
FedProx,0.1880415944540727,0.0307457878970514,0.0774041818530596,0.0413666792977137,0.0792162247596182,0.1880415944540727,0.1046677082355083,0.0838552418211717,0.9040706915103628,True
Proposed,0.1967071057192374,0.0293771667769013,0.0755434490696336,0.0422861483027813,0.0761355350169364,0.1967071057192374,0.1097381549577544,0.0803480966717159,0.8985780095696434,True
