round,clients,prompts_per_100,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
1,150,30.017351069982652,0.09427414690572586,0.11202411405461415,0.07515750915750916,0.018320704504353132,0.2566825534046073,0.09427414690572586,0.023922303792916287,0.0072009980488954295,0.9224526012992668,True
2,150,30.017351069982652,0.10989010989010989,0.10373632272938654,0.07747252747252747,0.022623957819470693,0.23742341509797796,0.10989010989010989,0.042399347706589666,0.02138140498557622,0.9188403323026021,True
3,150,30.017351069982652,0.1769809138230191,0.1030063238265131,0.08110622710622711,0.0394533208907617,0.23544164752864735,0.1769809138230191,0.09199739226624287,0.08555183629464937,0.9145648718061442,True
4,150,30.017351069982652,0.21804511278195488,0.023242772712695283,0.07827106227106227,0.03067302490866269,0.05628022959768046,0.21804511278195488,0.0823712465694734,0.11991085041424249,0.9094290020778703,True
5,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.1235705003306106,0.9032301192886784,True
6,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.09644953638935726,0.8960327660472373,True
7,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.07997871703964357,0.8882629904645296,True
8,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.061541268269129056,0.8808950535736252,True
9,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.041552328155039356,0.8746762502703735,True
10,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.04317938364469087,0.8702674994923146,True
