round,client_id,local_loss,sample_count,mean_note_utility,note_count,base_weight,utility_multiplier,final_weight
1,U001,2.5146007537841797,44,,0,0.005871363757672805,1.0,0.005871363757672805
1,U002,2.556631882985433,50,,0,0.006672004270082733,1.0,0.006672004270082733
1,U003,2.5493726332982383,42,,0,0.005604483586869495,1.0,0.005604483586869495
1,U004,2.5362786054611206,63,,0,0.008406725380304243,1.0,0.008406725380304243
1,U005,2.5501245657602944,51,,0,0.0068054443554843875,1.0,0.0068054443554843875
1,U006,2.5569895108540854,45,,0,0.00600480384307446,1.0,0.00600480384307446
1,U007,2.5434659322102866,51,,0,0.0068054443554843875,1.0,0.0068054443554843875
1,U008,2.516408642133077,47,,0,0.006271684013877769,1.0,0.006271684013877769
1,U009,2.505961259206136,50,,0,0.006672004270082733,1.0,0.006672004270082733
1,U010,2.5515464146931968,45,,0,0.00600480384307446,1.0,0.00600480384307446
1,U011,2.5553770462671914,49,,0,0.006538564184681078,1.0,0.006538564184681078
1,U012,2.5387012163798013,52,,0,0.006938884440886042,1.0,0.006938884440886042
1,U013,2.535706718762716,53,,0,0.007072324526287697,1.0,0.007072324526287697
1,U014,2.5431867837905884,47,,0,0.006271684013877769,1.0,0.006271684013877769
1,U015,2.5545893907546997,33,,0,0.004403522818254604,1.0,0.004403522818254604
1,U016,2.5276920000712075,61,,0,0.008139845209500934,1.0,0.008139845209500934
1,U017,2.5304677883783975,42,,0,0.005604483586869495,1.0,0.005604483586869495
1,U018,2.5476791858673096,47,,0,0.006271684013877769,1.0,0.006271684013877769
1,U019,2.549798846244812,45,,0,0.00600480384307446,1.0,0.00600480384307446
1,U020,2.5031232833862305,49,,0,0.006538564184681078,1.0,0.006538564184681078
1,U021,2.5082276662190757,43,,0,0.00573792367227115,1.0,0.00573792367227115
1,U022,2.550841967264811,56,,0,0.007472644782492661,1.0,0.007472644782492661
1,U023,2.5416376193364463,52,,0,0.006938884440886042,1.0,0.006938884440886042
1,U024,2.536618789037069,55,,0,0.007339204697091006,1.0,0.007339204697091006
1,U025,2.539412339528402,48,,0,0.006405124099279423,1.0,0.006405124099279423
1,U026,2.5132147073745728,54,,0,0.007205764611689352,1.0,0.007205764611689352
1,U027,2.549739877382914,50,,0,0.006672004270082733,1.0,0.006672004270082733
1,U028,2.5439122915267944,58,,0,0.00773952495329597,1.0,0.00773952495329597
1,U029,2.5480541388193765,44,,0,0.005871363757672805,1.0,0.005871363757672805
1,U030,2.5372082789738974,51,,0,0.0068054443554843875,1.0,0.0068054443554843875
1,U031,2.5684485038121543,48,,0,0.006405124099279423,1.0,0.006405124099279423
1,U032,2.5304309924443564,47,,0,0.006271684013877769,1.0,0.006271684013877769
1,U033,2.510268727938334,46,,0,0.006138243928476114,1.0,0.006138243928476114
1,U034,2.5518155892690024,42,,0,0.005604483586869495,1.0,0.005604483586869495
1,U035,2.5192013581593833,48,,0,0.006405124099279423,1.0,0.006405124099279423
1,U036,2.5104347864786782,70,,0,0.009340805978115827,1.0,0.009340805978115827
1,U037,2.538893143335978,49,,0,0.006538564184681078,1.0,0.006538564184681078
1,U038,2.548710743586222,58,,0,0.00773952495329597,1.0,0.00773952495329597
1,U039,2.5509495735168457,48,,0,0.006405124099279423,1.0,0.006405124099279423
1,U040,2.5369197527567544,52,,0,0.006938884440886042,1.0,0.006938884440886042
1,U041,2.5407314697901406,52,,0,0.006938884440886042,1.0,0.006938884440886042
1,U042,2.536091764767965,42,,0,0.005604483586869495,1.0,0.005604483586869495
1,U043,2.520845095316569,30,,0,0.0040032025620496394,1.0,0.0040032025620496394
1,U044,2.526105841000875,41,,0,0.005471043501467841,1.0,0.005471043501467841
1,U045,2.5265525182088218,58,,0,0.00773952495329597,1.0,0.00773952495329597
1,U046,2.5382805267969766,54,,0,0.007205764611689352,1.0,0.007205764611689352
1,U047,2.546801726023356,53,,0,0.007072324526287697,1.0,0.007072324526287697
1,U048,2.5339466333389282,53,,0,0.007072324526287697,1.0,0.007072324526287697
1,U049,2.5457209746042886,45,,0,0.00600480384307446,1.0,0.00600480384307446
1,U050,2.532164136568705,48,,0,0.006405124099279423,1.0,0.006405124099279423
1,U051,2.5267876784006753,52,,0,0.006938884440886042,1.0,0.006938884440886042
1,U052,2.5446344216664634,49,,0,0.006538564184681078,1.0,0.006538564184681078
1,U053,2.5229282776514688,48,,0,0.006405124099279423,1.0,0.006405124099279423
1,U054,2.536523183186849,46,,0,0.006138243928476114,1.0,0.006138243928476114
1,U055,2.529632051785787,50,,0,0.006672004270082733,1.0,0.006672004270082733
1,U056,2.531338413556417,59,,0,0.007872965038697624,1.0,0.007872965038697624
1,U057,2.535556157430013,44,,0,0.005871363757672805,1.0,0.005871363757672805
1,U058,2.540385286013285,62,,0,0.008273285294902588,1.0,0.008273285294902588
1,U059,2.5475065310796103,58,,0,0.00773952495329597,1.0,0.00773952495329597
1,U060,2.5545823176701865,59,,0,0.007872965038697624,1.0,0.007872965038697624
1,U061,2.575667421023051,53,,0,0.007072324526287697,1.0,0.007072324526287697
1,U062,2.4980905453364053,48,,0,0.006405124099279423,1.0,0.006405124099279423
1,U063,2.5385971864064536,56,,0,0.007472644782492661,1.0,0.007472644782492661
1,U064,2.5269821087519326,53,,0,0.007072324526287697,1.0,0.007072324526287697
1,U065,2.536255399386088,43,,0,0.00573792367227115,1.0,0.00573792367227115
1,U066,2.5489507913589478,58,,0,0.00773952495329597,1.0,0.00773952495329597
1,U067,2.5238027572631836,44,,0,0.005871363757672805,1.0,0.005871363757672805
1,U068,2.542232076327006,59,,0,0.007872965038697624,1.0,0.007872965038697624
1,U069,2.5185744762420654,49,,0,0.006538564184681078,1.0,0.006538564184681078
1,U070,2.51969575881958,42,,0,0.005604483586869495,1.0,0.005604483586869495
1,U071,2.5359124739964805,40,,0,0.0053376034160661865,1.0,0.0053376034160661865
1,U072,2.53387987613678,60,,0,0.008006405124099279,1.0,0.008006405124099279
1,U073,2.5251004695892334,47,,0,0.006271684013877769,1.0,0.006271684013877769
1,U074,2.549423098564148,52,,0,0.006938884440886042,1.0,0.006938884440886042
1,U075,2.5263046423594155,56,,0,0.007472644782492661,1.0,0.007472644782492661
1,U076,2.5358643929163613,50,,0,0.006672004270082733,1.0,0.006672004270082733
1,U077,2.534682353337606,49,,0,0.006538564184681078,1.0,0.006538564184681078
1,U078,2.5331353346506753,63,,0,0.008406725380304243,1.0,0.008406725380304243
1,U079,2.531280279159546,57,,0,0.007606084867894315,1.0,0.007606084867894315
