round,client_id,local_loss,sample_count,mean_note_utility,note_count,base_weight,utility_multiplier,final_weight,utility_fallback,fallback_reason
1,U001,2.5504021644592285,44,0.3478317181687579,13,0.005871363757672805,0.923915859084379,0.005891283504620958,False,
1,U002,2.5333497524261475,50,0.3481757064805648,13,0.006672004270082733,0.9240878532402824,0.006695886605767146,False,
1,U003,2.551687320073446,42,0.3425655074264484,13,0.005604483586869495,0.9212827537132242,0.0056074712554967975,False,
1,U004,2.580249031384786,63,0.34333471928172504,17,0.008406725380304243,0.9216673596408625,0.00841471829167312,False,
1,U005,2.5459326903025308,51,0.33756896241412754,12,0.0068054443554843875,0.9187844812070638,0.00679060785543672,False,
1,U006,2.568670074144999,45,0.3386636474849597,13,0.00600480384307446,0.9193318237424799,0.005995282224456335,False,
1,U007,2.571493983268738,51,0.3437527511610707,13,0.0068054443554843875,0.9218763755805354,0.006813459615180303,False,
1,U008,2.5402931769688926,47,0.343831234365879,8,0.006271684013877769,0.9219156171829395,0.006279337907571668,False,
1,U009,2.59001088142395,50,0.34423076923076923,13,0.006672004270082733,0.9221153846153847,0.006681594213329093,False,
1,U010,2.558931271235148,45,0.3363687804926793,11,0.00600480384307446,0.9181843902463397,0.005987799411977212,False,
1,U011,2.531768798828125,49,0.3439055435761349,12,0.006538564184681078,0.9219527717880674,0.006546807611675446,False,
1,U012,2.563844323158264,52,0.3393050405289347,15,0.006938884440886042,0.9196525202644673,0.006930298379790056,False,
1,U013,2.573808471361796,53,0.3535714285714286,13,0.007072324526287697,0.9267857142857143,0.00711836125827071,False,
1,U014,2.5670579274495444,47,0.33962711398176043,13,0.006271684013877769,0.9198135569908802,0.006265020386529635,False,
1,U015,2.596745332082113,33,0.3459362843384857,8,0.004403522818254604,0.9229681421692428,0.004413930341536426,False,
1,U016,2.573175311088562,61,0.33971674537400876,17,0.008139845209500934,0.9198583726870044,0.008131592844816765,False,
1,U017,2.570643583933512,42,0.336146933085188,9,0.005604483586869495,0.918073466542594,0.005587937637302589,False,
1,U018,2.570489525794983,47,0.34233820267373855,14,0.006271684013877769,0.9211691013368692,0.006274253249970188,False,
1,U019,2.5251369873682656,45,0.34561694849270325,11,0.00600480384307446,0.9228084742463516,0.006017954670278625,False,
1,U020,2.563296675682068,49,0.3446428571428571,14,0.006538564184681078,0.9223214285714285,0.006549425451882948,False,
1,U021,2.559800942738851,43,0.33865895166399645,11,0.00573792367227115,0.9193294758319982,0.005728810605675626,False,
1,U022,2.552897294362386,56,0.3406586191301578,10,0.007472644782492661,0.9203293095650789,0.007468890707986076,False,
1,U023,2.553474028905233,52,0.3417424252737378,14,0.006938884440886042,0.9208712126368689,0.006939482176482625,False,
1,U024,2.5700767834981284,55,0.3423157118036002,14,0.007339204697091006,0.9211578559018001,0.00734212161782292,False,
1,U025,2.544237573941549,48,0.3409406710563709,12,0.006405124099279423,0.9204703355281855,0.006402887312386196,False,
1,U026,2.5463150342305503,54,0.3417378724463445,12,0.007205764611689352,0.9208689362231722,0.007206367522775045,False,
1,U027,2.5793718894322715,50,0.34166666666666673,12,0.006672004270082733,0.9208333333333334,0.006672304544627906,False,
1,U028,2.5299208561579385,58,0.3424665138301556,15,0.00773952495329597,0.9212332569150778,0.007743234746346934,False,
1,U029,2.5911654233932495,44,0.3425,12,0.005871363757672805,0.92125,0.005874284844521097,False,
1,U030,2.5411147673924765,51,0.33582433451212385,14,0.0068054443554843875,0.917912167256062,0.0067841607047836126,False,
1,U031,2.5756017367045083,48,0.33750644172836963,12,0.006405124099279423,0.9187532208641849,0.006390942884334929,False,
1,U032,2.5562591552734375,47,0.3341871636231555,12,0.006271684013877769,0.9170935818115777,0.0062464941321385475,False,
1,U033,2.5448808670043945,46,0.3384796054626747,13,0.006138243928476114,0.9192398027313373,0.006127897281771354,False,
1,U034,2.537594795227051,42,0.34174279925538137,9,0.005604483586869495,0.9208713996276907,0.005604967511449529,False,
1,U035,2.5644447008768716,48,0.34107466070026543,14,0.006405124099279423,0.9205373303501327,0.006403353335329995,False,
1,U036,2.5688741472032337,70,0.3416850842130412,18,0.009340805978115827,0.9208425421065206,0.009341319779204712,False,
1,U037,2.575015743573507,49,0.3458363563331453,12,0.006538564184681078,0.9229181781665726,0.006553662984337214,False,
1,U038,2.55688484509786,58,0.341093939094419,16,0.00773952495329597,0.9205469695472095,0.007737466300458808,False,
1,U039,2.559771776199341,48,0.34259553234710066,11,0.006405124099279423,0.9212977661735503,0.0064086430059448005,False,
1,U040,2.544475475947062,52,0.34590465082902905,15,0.006938884440886042,0.9229523254145146,0.0069551649829701565,False,
1,U041,2.5531839529673257,52,0.3346208062633165,13,0.006938884440886042,0.9173104031316582,0.006912648702098619,False,
1,U042,2.5934277772903442,42,0.35000000000000003,8,0.005604483586869495,0.925,0.005630096613041683,False,
1,U043,2.597877820332845,30,0.346875,8,0.0040032025620496394,0.9234375,0.004014704510506315,False,
1,U044,2.5843659241994223,41,0.3375000000000001,12,0.005471043501467841,0.9187500000000001,0.005458911243050551,False,
1,U045,2.579941511154175,58,0.3475122199700112,13,0.00773952495329597,0.9237561099850056,0.007764440063680363,False,
1,U046,2.549009124437968,54,0.3416903687920267,15,0.007205764611689352,0.9208451843960134,0.0072061816500746945,False,
1,U047,2.571130077044169,53,0.3386612031346108,14,0.007072324526287697,0.9193306015673054,0.0070611007883122755,False,
1,U048,2.5456849733988443,53,0.3404862275567677,14,0.007072324526287697,0.9202431137783839,0.0070681095191018365,False,
1,U049,2.5678410132726035,45,0.3431818181818182,13,0.00600480384307446,0.9215909090909091,0.006010014504883474,False,
1,U050,2.5631645917892456,48,0.34042192978431235,15,0.006405124099279423,0.9202109648921561,0.006401083103287285,False,
1,U051,2.5678868691126504,52,0.3410965770621642,15,0.006938884440886042,0.9205482885310821,0.006937048691706781,False,
1,U052,2.5616487661997476,49,0.34254812903639953,10,0.006538564184681078,0.9212740645181998,0.006541988095908005,False,
1,U053,2.5667486588160195,48,0.3350000000000001,12,0.006405124099279423,0.9175,0.006382225349764624,False,
1,U054,2.5335756142934165,46,0.33760794783134046,11,0.006138243928476114,0.9188039739156703,0.006124991930842349,False,
1,U055,2.547517418861389,50,0.34750504526564685,11,0.006672004270082733,0.9237525226328234,0.006693456819773191,False,
1,U056,2.561873475710551,59,0.34107453072088656,14,0.007872965038697624,0.9205372653604433,0.00787078791900089,False,
1,U057,2.5537197987238565,44,0.34000001875628194,11,0.005871363757672805,0.920000009378141,0.005866314368574524,False,
1,U058,2.565553824106852,62,0.34210526315789475,19,0.008273285294902588,0.9210526315789473,0.008275628022963118,False,
1,U059,2.555099368095398,58,0.3375187036835425,14,0.00773952495329597,0.9187593518417713,0.00772244085122971,False,
1,U060,2.5697566668192544,59,0.3365390593135683,14,0.007872965038697624,0.9182695296567842,0.007851398300077793,False,
1,U061,2.548649311065674,53,0.34009077570395496,12,0.007072324526287697,0.9200453878519774,0.007066590845958097,False,
1,U062,2.556100606918335,48,0.33850693451710867,13,0.006405124099279423,0.9192534672585544,0.006394422650241495,False,
1,U063,2.5726787646611533,56,0.3395851721830037,13,0.007472644782492661,0.9197925860915018,0.0074645349530156595,False,
1,U064,2.576703985532125,53,0.3477272727272727,13,0.007072324526287697,0.9238636363636363,0.007095917659978736,False,
1,U065,2.5308987696965537,43,0.34692331417840155,10,0.00573792367227115,0.9234616570892008,0.005754560333529629,False,
1,U066,2.539970636367798,58,0.33510468283105543,16,0.00773952495329597,0.9175523414155278,0.007712295575859399,False,
1,U067,2.589816093444824,44,0.3363636363636364,12,0.005871363757672805,0.9181818181818182,0.005854720802236396,False,
1,U068,2.582344134648641,59,0.3403846153846154,15,0.007872965038697624,0.9201923076923078,0.007867838458127227,False,
1,U069,2.5652769009272256,49,0.3437634400924177,13,0.006538564184681078,0.9218817200462088,0.006546303071639712,False,
1,U070,2.552153746287028,42,0.34328693288534373,12,0.005604483586869495,0.9216434664426718,0.005609666766325278,False,
1,U071,2.5550853411356607,40,0.346875,9,0.0053376034160661865,0.9234375,0.0053529393473417545,False,
1,U072,2.567141135533651,60,0.3359375330959978,16,0.008006405124099279,0.9179687665479989,0.007981857673235428,False,
1,U073,2.5388938585917153,47,0.3437938564850762,12,0.006271684013877769,0.9218969282425381,0.006279210613739426,False,
1,U074,2.541908105214437,52,0.3409923578389771,11,0.006938884440886042,0.9204961789194885,0.0069366560051769876,False,
1,U075,2.5619680086771646,56,0.3500131090483353,14,0.007472644782492661,0.9250065545241677,0.007506848676998735,False,
1,U076,2.5625686645507812,50,0.3386363636363637,11,0.006672004270082733,0.9193181818181818,0.006661325845253774,False,
1,U077,2.5667248169581094,49,0.34170927775180837,12,0.006538564184681078,0.9208546388759042,0.006539009744877955,False,
1,U078,2.5738717317581177,63,0.34464682906883454,16,0.008406725380304243,0.9223234145344172,0.008420707998323127,False,
1,U079,2.5545695622762046,57,0.341731985572162,16,0.007606084867894315,0.920865992786081,0.007606696960150845,False,
1,U080,2.5736618041992188,49,0.33864851881346686,13,0.006538564184681078,0.9193242594067335,0.006528142485443301,False,
1,U081,2.5456772247950235,41,0.3400485591011465,10,0.005471043501467841,0.9200242795505733,0.0054664825943054225,False,
1,U082,2.525378425916036,38,0.34564692402901387,11,0.005070723245262877,0.9228234620145069,0.005081910924609638,False,
1,U083,2.5743484497070312,47,0.3363739656071277,12,0.006271684013877769,0.9181869828035638,0.0062539414886744246,False,
1,U084,2.5560830434163413,55,0.34049838199726107,14,0.007339204697091006,0.9202491909986306,0.0073348790717314176,False,
1,U085,2.5380969444910684,50,0.3443333079845305,13,0.006672004270082733,0.9221666539922653,0.0066819657082391685,False,
1,U086,2.5540130138397217,51,0.34107948091373314,15,0.0068054443554843875,0.9205397404568666,0.006803580731550583,False,
1,U087,2.522303303082784,46,0.3375924971822576,9,0.006138243928476114,0.9187962485911287,0.006124940431772011,False,
1,U088,2.5761125485102334,58,0.34545454545454546,11,0.00773952495329597,0.9227272727272727,0.00775579238586086,False,
1,U089,2.5529752175013223,39,0.3375035733272825,10,0.005204163330664532,0.9187517866636412,0.005192632987658107,False,
1,U090,2.5581700007120767,52,0.34237010970205,14,0.006938884440886042,0.921185054851025,0.006941847222127962,False,
1,U091,2.5838540395100913,69,0.3359375,18,0.009207365892714172,0.91796875,0.009179136158750692,False,
1,U092,2.5427797635396323,53,0.34794475267774033,13,0.007072324526287697,0.9239723763388702,0.007096752858897967,False,
1,U093,2.5443888902664185,45,0.3350544213840244,11,0.00600480384307446,0.9175272106920123,0.005983513715780711,False,
1,U094,2.5709363222122192,64,0.345004670004502,15,0.008540165465705898,0.922502335002251,0.008556029482533587,False,
1,U095,2.5678656895955405,55,0.3403886649045571,15,0.007339204697091006,0.9201943324522786,0.007334441819726767,False,
1,U096,2.5371744632720947,39,0.34071603909051096,9,0.005204163330664532,0.9203580195452554,0.005201711149973545,False,
1,U097,2.5545832316080728,50,0.3416733248850862,13,0.006672004270082733,0.9208366624425431,0.006672328667158776,False,
1,U098,2.572233279546102,51,0.34667031046740704,16,0.0068054443554843875,0.9233351552337035,0.006824241251978458,False,
1,U099,2.5526316165924072,49,0.3389134081044425,9,0.006538564184681078,0.9194567040522212,0.006529082977884712,False,
1,U100,2.5638582706451416,60,0.3450220176609218,17,0.008006405124099279,0.9225110088304609,0.00802135305993829,False,
1,U101,2.5594226121902466,53,0.35001560879831445,15,0.007072324526287697,0.9250078043991572,0.00710470566921481,False,
1,U102,2.5422136386235556,45,0.3389356698881867,10,0.00600480384307446,0.9194678349440933,0.005996169200756188,False,
1,U103,2.584535320599874,37,0.33500086621028435,10,0.004937283159861222,0.9175004331051422,0.0049196343627519405,False,
1,U104,2.5625223318735757,54,0.33752686483956496,17,0.007205764611689352,0.9187634324197824,0.007189890656598998,False,
1,U105,2.5513861576716104,46,0.34503289690270644,11,0.006138243928476114,0.9225164484513533,0.006149740274580579,False,
1,U106,2.5720957120259604,50,0.34791666666666665,13,0.006672004270082733,0.9239583333333333,0.00669494811208705,False,
1,U107,2.5772172609965005,46,0.3437525694886783,11,0.006138243928476114,0.9218762847443391,0.006145472772859651,False,
1,U108,2.5556329488754272,57,0.3434222926661477,17,0.007606084867894315,0.9217111463330738,0.007613678244037027,False,
1,U109,2.5603763262430825,49,0.3417121288858915,14,0.006538564184681078,0.9208560644429458,0.006539019867861955,False,
1,U110,2.568453391393026,61,0.3437509147646181,16,0.008139845209500934,0.921875457382309,0.008149423971828,False,
1,U111,2.591823697090149,38,0.335714572346439,9,0.005070723245262877,0.9178572861732195,0.005054562613366795,False,
1,U112,2.550505042076111,49,0.34583886774760875,13,0.006538564184681078,0.9229194338738044,0.006553671901142841,False,
1,U113,2.55476176738739,47,0.33413650086441965,11,0.006271684013877769,0.9170682504322099,0.006246321595425044,False,
1,U114,2.5557815631230674,35,0.3400134641913517,11,0.004670402989057913,0.9200067320956758,0.004666420528240912,False,
1,U115,2.5834316412607827,55,0.3431818181818182,13,0.007339204697091006,0.9215909090909091,0.007345573283746468,False,
1,U116,2.5778955221176147,57,0.34038461538461545,15,0.007606084867894315,0.9201923076923078,0.007601132069716136,False,
1,U117,2.5371329387029014,56,0.35009274925036743,13,0.007472644782492661,0.9250463746251837,0.007507171835219797,False,
1,U118,2.572402993837992,35,0.342878033001321,8,0.004670402989057913,0.9214390165006605,0.00467368530263498,False,
1,U119,2.5548519690831504,61,0.3416819442799433,16,0.008139845209500934,0.9208409721399716,0.008140279071869013,False,
1,U120,2.5937387148539224,39,0.3333333333333333,10,0.005204163330664532,0.9166666666666666,0.005180848234652256,False,
1,U121,2.5645496447881064,49,0.33750187895318245,11,0.006538564184681078,0.9187509394765913,0.006524071327573358,False,
1,U122,2.554716944694519,53,0.3386780476139343,14,0.007072324526287697,0.9193390238069672,0.007061165476992294,False,
1,U123,2.569149057070414,44,0.3431818181818182,12,0.005871363757672805,0.9215909090909091,0.005876458626997175,False,
1,U124,2.5345866282780967,54,0.33856619344359606,13,0.007205764611689352,0.919283096721798,0.00719395735035039,False,
1,U125,2.5516060988108316,48,0.33750500381992127,12,0.006405124099279423,0.9187525019099606,0.006390937883214629,False,
1,U126,2.562287370363871,45,0.3395913734313845,12,0.00600480384307446,0.9197956867156922,0.005998307236063745,False,
1,U127,2.5639246702194214,41,0.3425548992826373,10,0.005471043501467841,0.9212774496413186,0.005473928520071762,False,
1,U128,2.5641363859176636,60,0.3431818181818182,13,0.008006405124099279,0.9215909090909091,0.008013352673177964,False,
1,U129,2.5727961460749307,51,0.3410714285714286,15,0.0068054443554843875,0.9205357142857142,0.006803550974681574,False,
1,U130,2.551398277282715,56,0.34811543002168055,14,0.007472644782492661,0.9240577150108402,0.0074991484130271235,False,
1,U131,2.5644611120224,62,0.33750082599100123,19,0.008273285294902588,0.9187504129955006,0.00825494266365689,False,
1,U132,2.5527161359786987,48,0.33184125177079277,13,0.006405124099279423,0.9159206258853964,0.006371239059289436,False,
1,U133,2.6061646540959678,36,0.340625,10,0.004803843074459567,0.9203125,0.004801342044036994,False,
1,U134,2.5940740505854287,55,0.33928948326104946,14,0.007339204697091006,0.9196447416305247,0.007330061286436513,False,
1,U135,2.5135980447133384,44,0.353287593473226,9,0.005871363757672805,0.926643796736613,0.005908678004276117,False,
1,U136,2.5708786646525064,50,0.3375,11,0.006672004270082733,0.91875,0.006657208832988475,False,
1,U137,2.571803609530131,56,0.34090909090909094,12,0.007472644782492661,0.9204545454545454,0.007469907054158498,False,
1,U138,2.5625731150309243,53,0.34465012551572294,15,0.007072324526287697,0.9223250627578614,0.007084100340635627,False,
1,U139,2.533065676689148,52,0.3397718280359035,13,0.006938884440886042,0.9198859140179517,0.0069320571835947385,False,
1,U140,2.508627772331238,51,0.34822226174953236,13,0.0068054443554843875,0.9241111308747662,0.006829976379629836,False,
1,U141,2.5630735953648887,54,0.3500134843989185,14,0.007205764611689352,0.9250067421994592,0.007238748407209431,False,
1,U142,2.538317084312439,47,0.34046323851221355,13,0.006271684013877769,0.9202316192561067,0.006267867885997953,False,
1,U143,2.5659504731496177,45,0.3400696807083072,10,0.00600480384307446,0.9200348403541536,0.005999866840028879,False,
1,U144,2.550292491912842,41,0.33750822316037304,10,0.005471043501467841,0.9187541115801865,0.0054589356727118375,False,
1,U145,2.5895613034566245,44,0.3386363636363637,13,0.005871363757672805,0.9193181818181818,0.005861966743823321,False,
1,U146,2.565387566884359,50,0.3425350701294877,11,0.006672004270082733,0.9212675350647439,0.006675450745010649,False,
1,U147,2.5649412075678506,50,0.3366667374633639,15,0.006672004270082733,0.9183333687316819,0.006654189947154956,False,
1,U148,2.557189464569092,54,0.3425306709231283,13,0.007205764611689352,0.9212653354615641,0.0072094695913596536,False,
1,U149,2.5553739070892334,55,0.34666761033060894,15,0.007339204697091006,0.9233338051653045,0.007359465099208335,False,
1,U150,2.5446002880732217,48,0.3376482970907693,14,0.006405124099279423,0.9188241485453846,0.006391436264656405,False,
