round,validation_accuracy,validation_macro_f1,clients
1,0.13765182186234817,0.03987830876929004,150
2,0.16888374783111626,0.038934449913765094,150
3,0.18392134181607867,0.041527466053077416,150
4,0.20185078079814922,0.04494257389660454,150
5,0.20936957779063042,0.04453151009358302,150
6,0.21226142278773857,0.037980387122018025,150
7,0.21573163678426838,0.030519055207433015,150
8,0.21573163678426838,0.02739122452726271,150
9,0.21688837478311163,0.027420298332845865,150
10,0.21688837478311163,0.027420298332845865,150
