round,validation_accuracy,validation_macro_f1,clients
1,0.031231925968768073,0.005509138344715216,150
2,0.061307113938692884,0.01918063327951956,150
3,0.1862348178137652,0.053077263513241456,150
4,0.19838056680161945,0.043971967406344487,150
5,0.20994794679005205,0.038924264767492334,150
6,0.21341816078658185,0.03065438323792193,150
7,0.21688837478311163,0.027498716726552762,150
8,0.21688837478311163,0.027433336991111598,150
9,0.21688837478311163,0.027420298332845865,150
10,0.21688837478311163,0.027420298332845865,150
