round,validation_accuracy,validation_macro_f1,clients
1,0.048582995951417005,0.018454542110370863,150
2,0.08386350491613649,0.027203881794696756,150
3,0.11162521688837479,0.033929219510495504,150
4,0.13302486986697512,0.043663846245972734,150
5,0.14227877385772122,0.050325272200984046,150
6,0.14285714285714285,0.05056354616882017,150
7,0.14112203585887798,0.05030804195710375,150
8,0.14690572585309428,0.05345326447361982,150
9,0.14806246385193753,0.0545745104629601,150
10,0.14690572585309428,0.05586572879640616,150
