variant,seeds,runs,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_precision_mean,weighted_precision_std,weighted_recall_mean,weighted_recall_std,weighted_f1_mean,weighted_f1_std,ece_mean,ece_std,brier_score_mean,brier_score_std
full,"42,52,62",3,0.1837088388214904,0.014902412064055336,0.033132155715597834,0.00983684624869603,0.08249647791728205,0.00994671659070116,0.043183288277838495,0.005777432789521808,0.07288190489966447,0.010388444430498845,0.1837088388214904,0.014902412064055336,0.09511852143533861,0.01492009202428242,0.08473777633799524,0.006146481940520945,0.9096970189763601,0.009663387368812199
without_actm,"42,52,62",3,0.18038705950317735,0.009584436755076335,0.033661459017982766,0.009763737473097944,0.08279470286223786,0.009879963419096369,0.04263238756923054,0.005995651827153893,0.07427168699047652,0.011611668902021824,0.18038705950317735,0.009584436755076335,0.092997080074412,0.010777466886265009,0.0855708606745606,0.006234815818259706,0.9115394544467376,0.006364418255505439
without_notes,"42,52,62",3,0.18255343731946846,0.01106621187434459,0.03391947096059866,0.011589997039446433,0.08338881474645066,0.01328914934651413,0.0438173833723729,0.007266131042533349,0.07315928435552584,0.010548626161067949,0.18255343731946846,0.01106621187434459,0.0943544935728456,0.0130737287367494,0.08363727667298464,0.008799410537355723,0.9096963164750651,0.009679952000673061
simple_concatenation,"42,52,62",3,0.1829867128827267,0.014095336002269745,0.0331158518128282,0.010815141300797283,0.08160494831088727,0.010657930013229972,0.043005538383047694,0.006648726001761305,0.07276661507104504,0.011891343511757278,0.1829867128827267,0.014095336002269745,0.0950833894954103,0.012698626130782447,0.08392740798127363,0.008781754671765032,0.9097034476525386,0.009637397761227812
without_uncertainty_utility,"42,52,62",3,0.18356441363373766,0.014669646751846325,0.033112746303443234,0.009845786278418181,0.08244519586600003,0.009988064179747442,0.043155129737847735,0.005776480943450045,0.07282948566183373,0.010350420805898172,0.18356441363373766,0.014669646751846325,0.09504153750948517,0.014788396123629415,0.08459416551677944,0.006194906541513312,0.909697238010739,0.009662557121450753
without_specificity_utility,"42,52,62",3,0.18356441363373766,0.014669646751846325,0.033112746303443234,0.009845786278418181,0.08244519586600003,0.009988064179747442,0.043155129737847735,0.005776480943450045,0.07282948566183373,0.010350420805898172,0.18356441363373766,0.014669646751846325,0.09504153750948517,0.014788396123629415,0.08459339835016556,0.006194985164331565,0.9096967435278791,0.009663433911956289
without_utility_weighting,"42,52,62",3,0.1837088388214904,0.014902412064055336,0.033132155715597834,0.00983684624869603,0.08249647791728205,0.00994671659070116,0.043183288277838495,0.005777432789521808,0.07288190489966447,0.010388444430498845,0.1837088388214904,0.014902412064055336,0.09511852143533861,0.01492009202428242,0.08473847652255521,0.006145106847799398,0.9096972983916753,0.009662793474771786
