run,client_rounds,fallback_count,fallback_rate,near_identical_tolerance,near_identical_count,near_identical_rate,client_mean_utility_count,client_mean_utility_mean,client_mean_utility_std,client_mean_utility_min,client_mean_utility_p25,client_mean_utility_median,client_mean_utility_p75,client_mean_utility_max,multiplier_count,multiplier_mean,multiplier_std,multiplier_min,multiplier_p25,multiplier_median,multiplier_p75,multiplier_max,absolute_weight_change_count,absolute_weight_change_mean,absolute_weight_change_std,absolute_weight_change_min,absolute_weight_change_p25,absolute_weight_change_median,absolute_weight_change_p75,absolute_weight_change_max,relative_weight_change_count,relative_weight_change_mean,relative_weight_change_std,relative_weight_change_min,relative_weight_change_p25,relative_weight_change_median,relative_weight_change_p75,relative_weight_change_max
seed_42/full,1500,0,0.0,0.01,1500,1.0,1500,0.3438889849061658,0.005068646876046304,0.3279522818718611,0.34046378257221305,0.3436551396683625,0.34724543854722595,0.3610077543044103,1500,0.9219444924530829,0.0025343234380231514,0.9139761409359306,0.9202318912861066,0.9218275698341813,0.9236227192736131,0.9305038771522052,1500,1.3055488669343768e-05,9.890556865439572e-06,5.501504799464152e-09,5.03914765227504e-06,1.0990352429250064e-05,1.8955609901973947e-05,5.657397069830025e-05,1500,0.001975727685575909,0.001496409813191167,8.589224368163439e-07,0.0007947287087367724,0.001684546079732444,0.0028509075609780754,0.007455541893253051
seed_52/full,1500,0,0.0,0.01,1500,1.0,1500,0.3438479428970728,0.005351006404626947,0.3287048542546292,0.3401441542143401,0.3437540197101956,0.34732990543950504,0.3625885374521514,1500,0.9219239714485363,0.0026755032023134725,0.9143524271273146,0.92007207710717,0.9218770098550978,0.9236649527197526,0.9312942687260756,1500,1.3367833077467717e-05,1.0288106566042197e-05,6.79414030001213e-08,5.399871810949719e-06,1.1277717722000397e-05,1.9221692333249796e-05,6.406800238889857e-05,1500,0.00203803506157394,0.0015868233105188994,8.366234021077882e-06,0.000825867949519446,0.0017351312754264449,0.0029125086756797715,0.008461323439041067
seed_62/full,1500,0,0.0,0.01,1499,0.9993333333333333,1500,0.34355412426459586,0.005371084249795941,0.3251808277209194,0.3399089777075241,0.3432464569574619,0.34688503826390515,0.3634739255246307,1500,0.9217770621322979,0.002685542124897969,0.9125904138604596,0.9199544888537621,0.921623228478731,0.9234425191319526,0.9317369627623152,1500,1.3587500834041498e-05,1.017959072524307e-05,2.660576290010319e-08,5.378531024324449e-06,1.1473293147200216e-05,1.951123430232499e-05,6.418346075589935e-05,1500,0.0020588740206776237,0.0015406407032410748,4.153824732778626e-06,0.0008282699058923353,0.0017085823750879088,0.0029657653823659622,0.008610325450868945
ALL,4500,0,0.0,0.01,4500,1.0,4500,0.34376368402261154,0.005266331826248367,0.3251808277209194,0.34015701056490166,0.3435515003461317,0.3471209136493782,0.3634739255246307,4500,0.9218818420113057,0.0026331659131241824,0.9125904138604596,0.9200785052824509,0.9217757501730658,0.9235604568246891,0.9317369627623152,4500,1.3336940860284328e-05,1.0120913927351156e-05,5.501504799464152e-09,5.2988210794005855e-06,1.1221525801249823e-05,1.922999140887443e-05,6.418346075589935e-05,4500,0.0020242122559424912,0.001541795323433895,8.589224368163439e-07,0.0008144673773018651,0.001706624547542643,0.002895834008263819,0.008610325450868945
