round,client_id,local_loss,sample_count,mean_note_utility,note_count,base_weight,utility_multiplier,final_weight
1,U001,2.5144036610921225,44,0.3425149451467134,38,0.005871363757672805,0.9212574725733567,0.005875373003608649
1,U002,2.555554986000061,50,0.3423336514734715,42,0.006672004270082733,0.9211668257367358,0.006675903293348536
1,U003,2.5502315759658813,42,0.33879768605554994,40,0.005604483586869495,0.919398843027775,0.00559699587281083
1,U004,2.5361252228418985,63,0.34030901852729784,51,0.008406725380304243,0.920154509263649,0.008402394178140161
1,U005,2.5491315523783364,51,0.339006023251394,41,0.0068054443554843875,0.919503011625697,0.0067971221632078666
1,U006,2.557069023450216,45,0.34100874473804915,40,0.00600480384307446,0.9205043723690246,0.006003992110237722
1,U007,2.5433017015457153,51,0.34093261498924887,40,0.0068054443554843875,0.9204663074946244,0.006804243009597305
1,U008,2.515952547391256,47,0.3410203280943399,34,0.006271684013877769,0.92051016404717,0.006270875659205299
1,U009,2.5066655476888022,50,0.34237173058677073,43,0.006672004270082733,0.9211858652933853,0.006676041277300399
1,U010,2.5518687963485718,45,0.3415671908936236,37,0.00600480384307446,0.9207835954468118,0.006005813343472841
1,U011,2.5556511084238687,49,0.34321635884732427,42,0.006538564184681078,0.9216081794236621,0.0065455198451868125
1,U012,2.5372389554977417,52,0.33746639740452655,46,0.006938884440886042,0.9187331987022633,0.0069245969005673645
1,U013,2.5359692573547363,53,0.3430811204225041,41,0.007072324526287697,0.9215405602112521,0.007079328541065372
1,U014,2.5438769658406577,47,0.34040439753402146,39,0.006271684013877769,0.9202021987670107,0.0062687776791343994
1,U015,2.5548342068990073,33,0.3434282118093031,23,0.004403522818254604,0.9217141059046515,0.0044087139068874105
1,U016,2.525998592376709,61,0.340995868669913,49,0.008139845209500934,0.9204979343349565,0.00813868793792872
1,U017,2.5297550757726035,42,0.34024366568703035,32,0.005604483586869495,0.9201218328435152,0.005601397195528897
1,U018,2.548521359761556,47,0.34413169643937563,36,0.006271684013877769,0.9220658482196878,0.006281473588909802
1,U019,2.5494724114735923,45,0.34022187655274744,36,0.00600480384307446,0.9201109382763737,0.0060014259353676404
1,U020,2.502650419871012,49,0.3431628392225956,41,0.006538564184681078,0.9215814196112978,0.006545329789492002
1,U021,2.509145975112915,43,0.3382244645023467,35,0.00573792367227115,0.9191122322511733,0.005728471345098873
1,U022,2.549927830696106,56,0.3415785705097821,45,0.007472644782492661,0.920789285254891,0.00747394723321308
1,U023,2.541535178820292,52,0.3408783899348548,44,0.006938884440886042,0.9204391949674274,0.0069374551889875725
1,U024,2.5369073947270713,55,0.3439779760505691,39,0.007339204697091006,0.9219889880252845,0.007350047857328064
1,U025,2.539950728416443,48,0.34143115752963427,42,0.006405124099279423,0.9207155787648171,0.006405727684790953
1,U026,2.513513207435608,54,0.3394562410328042,46,0.007205764611689352,0.9197281205164021,0.0071987148066653545
1,U027,2.548625866572062,50,0.3396325978155307,39,0.006672004270082733,0.9198162989077654,0.006666115721484918
1,U028,2.543875257174174,58,0.3416384744482714,49,0.00773952495329597,0.9208192372241357,0.007741125719761192
1,U029,2.5473493337631226,44,0.34388331338178113,36,0.005871363757672805,0.9219416566908906,0.005879736427530115
1,U030,2.537546753883362,51,0.33935101298457004,41,0.0068054443554843875,0.919675506492285,0.006798397274508103
1,U031,2.568151513735453,48,0.3402015450647965,35,0.006405124099279423,0.9201007725323982,0.006401450271228481
1,U032,2.528410275777181,47,0.3439643840573954,39,0.006271684013877769,0.9219821920286977,0.006280903690181562
1,U033,2.509084383646647,46,0.33389179662746454,42,0.006138243928476114,0.9169458983137323,0.006113688219808501
1,U034,2.551575700441996,42,0.3420306189207403,32,0.005604483586869495,0.9210153094603701,0.005606836385467967
1,U035,2.5183135271072388,48,0.34114619704041144,44,0.006405124099279423,0.9205730985202057,0.006404736401849192
1,U036,2.511653926637438,70,0.34116006471668453,60,0.009340805978115827,0.9205800323583423,0.00934031093754967
1,U037,2.540309031804403,49,0.3454271095399078,39,0.006538564184681078,0.9227135547699539,0.006553370531006526
1,U038,2.546985149383545,58,0.3407832607483699,51,0.00773952495329597,0.9203916303741849,0.007737530922595487
1,U039,2.54978875319163,48,0.34619673057385975,40,0.006405124099279423,0.9230983652869299,0.00642230553135256
1,U040,2.5358493328094482,52,0.34127016448242253,42,0.006938884440886042,0.9206350822412113,0.006938931613711116
1,U041,2.541087508201599,52,0.33864962927647746,45,0.006938884440886042,0.9193248146382387,0.0069290559773508825
1,U042,2.536397616068522,42,0.3427371971077866,34,0.005604483586869495,0.9213685985538933,0.0056089870925450465
1,U043,2.521770795186361,30,0.34250532154738694,26,0.0040032025620496394,0.9212526607736935,0.004005915215507049
1,U044,2.525207797686259,41,0.3389914046510531,35,0.005471043501467841,0.9194957023255266,0.00546430967444099
1,U045,2.525145173072815,58,0.34157008146779533,47,0.00773952495329597,0.9207850407338977,0.007740838237354867
1,U046,2.5386887391408286,54,0.342109051996566,48,0.007205764611689352,0.921054525998283,0.007209096586420764
1,U047,2.5463956594467163,53,0.3429248532123186,47,0.007072324526287697,0.9214624266061593,0.007078728314136215
1,U048,2.5323721965154014,53,0.33925101791626433,46,0.007072324526287697,0.9196255089581322,0.007064617005209907
1,U049,2.5460575819015503,45,0.3409872294540345,34,0.00600480384307446,0.9204936147270173,0.006003921943490366
1,U050,2.5313523213068643,48,0.3424391571939485,44,0.006405124099279423,0.9212195785969742,0.006409234180990692
1,U051,2.5272477865219116,52,0.34298105070682844,44,0.006938884440886042,0.9214905253534142,0.006945379186011474
1,U052,2.5450446208318076,49,0.34221790695979104,40,0.006538564184681078,0.9211089534798955,0.006541974202477566
1,U053,2.5238684813181558,48,0.3377779656038293,41,0.006405124099279423,0.9188889828019147,0.006393019442855709
