method,seeds,runs,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_precision_mean,weighted_precision_std,weighted_recall_mean,weighted_recall_std,weighted_f1_mean,weighted_f1_std,ece_mean,ece_std,brier_score_mean,brier_score_std
fedavg,"42,52,62",3,0.18053148469093006,0.009416477939169872,0.03370452273888207,0.010698443499597473,0.08211012502387065,0.009554145622086705,0.04271586942988023,0.006512975159314661,0.07413653057274903,0.012428104798189179,0.18053148469093006,0.009416477939169872,0.09379173625232855,0.00921888056372086,0.08517239483397239,0.008102311941562277,0.9114153020466716,0.006398660414498347
fedprox,"42,52,62",3,0.1798093587521663,0.010407636178045292,0.033247862826956534,0.010022262842633715,0.08186637542351256,0.009533193290406675,0.042363010935113195,0.006154180339577534,0.07365651722157916,0.012177492104886388,0.1798093587521663,0.010407636178045292,0.093263286117088,0.009878561376099812,0.08472671948915649,0.00814447057097007,0.9114458673661368,0.006388404505456129
proposed,"42,52,62",3,0.1829867128827267,0.014095336002269745,0.0331158518128282,0.010815141300797283,0.08160494831088727,0.010657930013229972,0.043005538383047694,0.006648726001761305,0.07276661507104504,0.011891343511757278,0.1829867128827267,0.014095336002269745,0.0950833894954103,0.012698626130782447,0.08392740798127363,0.008781754671765032,0.9097034476525386,0.009637397761227812
