round,clients,prompts_per_100,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
1,150,30.017351069982652,0.1359167148640833,0.05688924660709794,0.07876737440538345,0.039828657993152126,0.1337047804070964,0.1359167148640833,0.0716702168736108,0.04614299244019529,0.9177760084276461,True
2,150,30.017351069982652,0.17061885482938113,0.03946443040165707,0.0798649495301079,0.03833284852893841,0.09103476361007425,0.17061885482938113,0.08002391323854662,0.07662059263282599,0.9137912198127774,True
3,150,30.017351069982652,0.18045112781954886,0.03896619136610427,0.07826406775728043,0.03674040098883822,0.09637161835533463,0.18045112781954886,0.08828814499109408,0.08092963466708408,0.9093089830277467,True
4,150,30.017351069982652,0.20011567379988432,0.03412705686487589,0.08287179487179487,0.044137500216904685,0.08845176910351447,0.20011567379988432,0.11182887897005699,0.09803201668416923,0.9041236317682908,True
5,150,30.017351069982652,0.205320994794679,0.031082707783864204,0.07958974358974359,0.04470554346348351,0.08025101613530994,0.205320994794679,0.11539671470984345,0.08910292474485118,0.8982397648657061,True
6,150,30.017351069982652,0.21341816078658185,0.029274824212926,0.07789743589743589,0.03892647443364157,0.07575910659961917,0.21341816078658185,0.1032673057025187,0.08494250680615684,0.8918990048736578,True
7,150,30.017351069982652,0.21573163678426838,0.02732655198079131,0.07697435897435898,0.031261021672707834,0.07113341132393575,0.21573163678426838,0.08600865012393681,0.0720680535115418,0.8853873951129161,True
8,150,30.017351069982652,0.21573163678426838,0.016691278471383183,0.07651282051282052,0.02740430534126809,0.0470618753892383,0.21573163678426838,0.07726777821786117,0.05531361069963322,0.8794878328208271,True
9,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.03925490254367134,0.8746280202785554,True
10,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.023657383241013595,0.8710932942287692,True
